ra;nomealuno;codcurso;genero;Estado Civil;datanasc;logradouro;endereco;numero;complemento;Bairro;Cidade;UF;Regiao;Pais;CEP;E-mail;telefone;situacao
100999;Alisson Andressa Capo Bianco Terceiro;121;2;2;10/02/93;Rua;Almirante Custódio De Melo;1401;C Fr;Boqueirao;CURITIBA;PR;SUL;BR;81670200;alisson.f@ig.com.br;(41) 917818505;Trancado
101000;Alisson Andrette Carrillo Da Silva Primeiro;129;2;2;14/10/92;Rua;Almirante Delamare;1664;;Parque Fernanda;SAO PAULO;SP;SUDESTE;BR;5888090;alissongouvea@hotmail.com;(11) 901791737;Trancado
101001;Alisson Andreu Padilha Moraes II;122;2;1;07/05/98;Rua;Almirante Gago Coutinho;377;Bl 5 Ap 318;Jardim América;SAO JOSE DOS CAMPOS;SP;SUDESTE;BR;12235340;alissonloyola@outlook.com;(12) 978768616;Ativo
101002;Alisson Andrey Da Costa Fernandes Pessoa Neto;124;2;1;30/11/01;Rua;Almirante Henrique Pinheiro Guedes;1950;43;Osasco;OSASCO;SP;SUDESTE;BR;6266425;alisson.marreiros@gmail.com;(11) 995378062;Ativo
101003;Alisson Andrey Krasnhak Terceiro;121;2;1;26/09/00;Rua;Almirante Ingran;1820;Sn;Imbituba;ARAÇATUBA;SC;SUL;BR;88780000;alisson@cominternet.com.br;(18) 921657438;Cancelado
101004;Alisson Andrey Ranghetti II;120;2;1;10/11/95;Rua;Almirante Ingran;1854;;Araçatuba;IMBITUBA;SC;SUL;BR;88780000;alisson@sonicinternet.com.br;(48) 927804293;Ativo
101005;Alisson Andri Laurentino II;127;2;1;06/07/00;Travessa;Almirante Jose Saldanha Da Gama;459;Zz E;Arraial Do Retiro;SALVADOR;BA;NORDESTE;BR;41204019;apneris@hotmail.com;(71) 991495226;Cancelado
101006;Alisson Andriani Petrizzo Segundo;129;2;2;16/10/90;Avenida;Almirante Lamego;70;Apt 42;Conjunto Habitacional Marinho;JACAREI;SP;SUDESTE;BR;12321150;alisson.ramospereira@gmail.com;(12) 958308696;Trancado
101007;Alisson Andrighetti De Pádua III;133;2;1;27/02/02;Avenida;Almirante Marques Leao;306;;Glória;VÁRZEA GRANDE;MT;CENTRO OESTE;BR;78140400;alissonpintor@gmail.com;(65) 973103176;Concluido
101008;Alisson Aneman Da Costa III;135;2;3;23/08/92;Rua;Almirante Mq Leao;1382;;Independência;SAO BERNARDO DO CAMPO;SP;SUDESTE;BR;9862040;alissonsm@gmail.com;(11) 921339667;Trancado
101009;Alisson Angelo Primus;138;2;4;28/01/91;Rua;Almirante Paulo Mario;555;Ap 114;Jardim Umarizal;SAO PAULO;SP;SUDESTE;BR;5754070;glacigi@hotmail.com;(11) 931430032;Cancelado
101010;Alisson Angelo Neto;125;2;2;30/05/90;Rua;Almirante Pestana;126;Residencial Arosa;Swiss Park;CAMPINAS;SP;SUDESTE;BR;13049335;alissonsuzuki@outlook.com;(19) 934481031;Concluido
101011;Allan Ângelo II;129;2;3;23/08/89;Rua;Almirante Saldanha;275;Apto 401;Jardim Vinte E Cinco De Agosto;DUQUE DE CAXIAS;RJ;SUDESTE;BR;25075200;allanalvaro@gmail.com;(21) 974297818;Cancelado
101012;Allan Angelo Alberti Segundo;120;2;1;22/08/96;Rua;Almirante Saldanha Marinho;1340;;Santo Andre;SANTO ANDRE;SP;SUDESTE;BR;9090340;allan.atha@gmail.com;(11) 914686407;Ativo
101013;Allan Angelo Alvarez II;130;2;1;23/09/00;Rua;Almirante Soido;726;Cs 1;Jardim Figueira Grande;SAO PAULO;SP;SUDESTE;BR;4915070;allan.azevedo@uol.com.br;(11) 907016347;Cancelado
101014;Allan Angelo Balaban Primus;127;2;1;21/10/02;Rua;Almirante Soído;446;Kitnet;Bequimao;SAO LUIS;MA;NORDESTE;BR;65062460;brunocastromlp@gmail.com;(98) 903656665;Ativo
101015;Allan Angelo Balthazar III;134;2;4;04/02/90;Rua;Almirante Tamandare;1143;Condomínio Península Way  Torre Enseada;Ponta D Areia;SAO LUIS;MA;NORDESTE;BR;65077550;allanbscs@gmail.com;(98) 928182319;Concluido
101016;Allan Angelo Correa Cardoso Primeiro;122;2;1;17/08/97;Avenida;Almirante Tamandare;865;Rua 6 Casa 171;Jardim Sulacap;RIO DE JANEIRO;RJ;SUDESTE;BR;21750000;allan.carloss@gmail.com;(21) 938423027;Cancelado
